PIs,POs,AND_Gates_Before,Levels_Before,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,ND,Edge,Area,Delay,Levels_After,Power
32,32,2337,120,rwsat,choice2,strash,drw,rewrite,resyn3,refactor -z,resyn2,resyn2,choice2,strash,rwsat,resub -z,drf,rewrite,share,resyn2a,balance,balance,balance,2292,5368,2292.0,49.0,49,2500.54
135,125,613,8,choice2,strash,drf,compress2,refactor,rwsat,refactor -z,resub,choice,strash,drw,compress,rewrite,resub,compress,rwsat,resyn3,choice,strash,resyn2a,329,848,329.0,5.0,5,457.94
207,107,2198,30,drw,dc2,drw,resyn,resyn,compress,rewrite,resub,share,balance,share,refactor,compress,resyn3,resyn2a,choice,strash,rewrite -z,choice2,strash,821,1817,821.0,22.0,22,936.37
45,45,1577,14,rwsat,share,rwsat,resyn,choice2,strash,resyn2a,resyn,balance,resyn3,resyn,share,choice2,strash,share,choice,strash,compress,refactor -z,resyn2,661,1964,661.0,8.0,8,538.03
32,32,2337,120,compress2,refactor -z,refactor,refactor -z,refactor,resub,resyn2a,rewrite -z,drwsat2,resub -z,resub -z,choice2,strash,resub,share,rewrite,rewrite -z,resub -z,refactor,dc2,2218,5234,2218.0,49.0,49,2419.52
177,128,1169,14,drw,rewrite,resyn2,resyn3,resub,resyn2,drf,compress,resub -z,drw,compress2,drw,refactor,compress2,compress,resub -z,share,drwsat2,resyn2,compress,544,1466,544.0,7.0,7,629.16
164,132,930,11,refactor -z,drf,resub -z,drwsat2,refactor,drf,rwsat,drwsat2,resyn,refactor,balance,resyn2a,dc2,rewrite,refactor,resyn2,rwsat,refactor -z,resyn3,resub,437,1138,437.0,6.0,6,556.64
32,32,2337,120,dc2,compress,drw,refactor -z,rwsat,rewrite -z,resyn3,choice2,strash,compress,rwsat,resyn2,resub,resyn3,resyn,drw,choice2,strash,balance,rewrite -z,1469,3088,1469.0,45.0,45,1461.21
24,25,5416,225,resyn2a,refactor,resyn2,refactor -z,resyn2a,drf,share,rewrite -z,balance,dc2,drf,resyn,dc2,choice,strash,drw,share,compress2,dc2,resub -z,3590,9520,3590.0,80.0,80,3599.52
26,11,1592,31,resyn2a,compress,refactor -z,resub -z,compress2,compress2,resyn2a,drf,balance,drf,refactor,refactor,rewrite,resyn2a,resub,choice2,strash,share,resyn3,drwsat2,547,1504,547.0,9.0,9,664.21
512,130,2865,287,share,refactor -z,resyn2a,compress2,resyn2,balance,compress,resyn,refactor,choice2,strash,resyn2a,share,rwsat,choice,strash,compress2,share,resyn2a,resyn2,2077,4778,2077.0,90.0,90,2430.16
207,107,2198,30,drwsat2,drf,resub -z,choice2,strash,resub,dc2,dc2,choice2,strash,share,dc2,resyn,rwsat,compress2,drw,balance,drwsat2,resyn2,compress,839,1870,839.0,23.0,23,962.42
32,32,2337,120,resyn2,rewrite -z,choice2,strash,rewrite -z,resub,rwsat,resyn2a,balance,refactor -z,drf,rewrite,resyn2,share,compress,resub -z,refactor -z,share,resyn2,compress,2150,5031,2150.0,50.0,50,2352.98
164,132,930,11,drwsat2,share,refactor,drwsat2,rwsat,choice,strash,resub,dc2,share,drwsat2,rewrite,resyn,share,resub -z,refactor,resyn2,resyn2,rewrite -z,compress,406,1110,406.0,6.0,6,500.18
24,25,5416,225,compress,share,choice,strash,resyn3,resyn3,compress,choice,strash,resyn2,refactor,compress,choice,strash,drwsat2,rewrite -z,drw,compress,rewrite -z,rewrite -z,3626,9689,3626.0,80.0,80,3630.42
512,130,2865,287,dc2,resub,balance,refactor,resub,resub -z,refactor,rewrite,drwsat2,resub,rewrite -z,resub,resyn2,resub -z,dc2,drw,rwsat,compress,dc2,refactor,1873,4378,1873.0,128.0,128,2225.68
164,132,930,11,dc2,resyn2a,compress2,compress,resyn2a,resub -z,choice,strash,rewrite,resub -z,resyn2a,compress2,drwsat2,choice,strash,share,refactor -z,compress,dc2,rewrite -z,430,1183,430.0,6.0,6,546.23
164,132,930,11,resyn2a,compress2,compress2,rewrite,rwsat,resyn2a,resyn2a,refactor -z,balance,drw,resyn2,rwsat,rewrite,choice2,strash,compress2,rewrite,resyn3,drwsat2,rewrite,468,1213,468.0,6.0,6,592.8
135,125,613,8,rwsat,resub -z,drwsat2,drwsat2,compress2,resyn2,resyn2,compress,resyn3,resyn3,balance,drw,drf,resyn2,rewrite -z,compress2,refactor -z,resyn2a,refactor -z,resub -z,272,733,272.0,4.0,4,401.37
45,45,1577,14,dc2,rewrite,refactor,resyn2,rwsat,drwsat2,resyn2,drwsat2,rewrite,choice2,strash,resyn2,resyn2,choice,strash,dc2,resyn2,resub -z,share,rewrite -z,680,2038,680.0,7.0,7,554.84
45,45,1577,14,drf,rewrite,resyn2a,compress2,resyn2a,drw,resub -z,resyn,compress,drwsat2,resub,refactor -z,drf,balance,balance,balance,resyn,drwsat2,resyn,resub,717,2179,717.0,8.0,8,578.97
177,128,1169,14,balance,balance,drw,resyn2a,resyn2,resyn,compress2,rwsat,balance,rewrite -z,choice2,strash,choice,strash,dc2,share,dc2,drw,drf,resub -z,551,1468,551.0,9.0,9,629.95
32,32,2337,120,share,rewrite -z,resub,resyn2a,rewrite -z,resyn3,resub -z,share,resyn3,refactor -z,choice2,strash,balance,resyn2a,rewrite -z,rwsat,resyn3,resub,drw,compress,1844,4116,1844.0,48.0,48,1937.06
24,25,5416,225,refactor -z,rewrite -z,balance,resub -z,resyn2a,drw,drw,resyn2a,dc2,refactor -z,refactor -z,dc2,share,drw,drw,choice,strash,rewrite -z,resyn,compress2,3306,8676,3306.0,81.0,81,3196.36
24,25,5416,225,rewrite,share,resyn,refactor,resub -z,refactor -z,rwsat,resyn2,resyn2a,drw,resyn3,resyn2,compress2,refactor -z,balance,resub,dc2,balance,drwsat2,resyn2,3511,9392,3511.0,77.0,77,3502.93
512,130,2865,287,refactor -z,drw,choice,strash,resub,rwsat,resyn2,resyn2a,rewrite -z,dc2,drw,resyn2,choice,strash,resub -z,choice,strash,resub,resyn2a,dc2,2106,4718,2106.0,115.0,115,2392.9
45,45,1577,14,drw,choice2,strash,resyn,share,resyn,rewrite -z,resyn2,rwsat,dc2,resyn2,compress,balance,rewrite -z,resyn,drwsat2,refactor,refactor -z,resub,balance,666,2004,666.0,8.0,8,529.53
207,107,2198,30,resyn3,resyn,resyn2,compress,resyn3,refactor,resyn2,compress,resub -z,drwsat2,choice,strash,refactor,resyn,rewrite -z,resyn2,drwsat2,drf,resub,rewrite -z,862,1910,862.0,19.0,19,972.93
26,11,1592,31,rewrite,resub -z,drw,rwsat,drwsat2,drwsat2,share,resyn3,choice,strash,dc2,refactor -z,drw,refactor,drf,resyn,rewrite -z,choice,strash,rwsat,536,1461,536.0,9.0,9,641.71
512,130,2865,287,rewrite,balance,rewrite,rewrite -z,share,refactor,refactor,resyn2a,resyn2,resyn2,resyn,refactor -z,resub -z,rewrite -z,rewrite -z,compress,resyn2a,resub -z,choice2,strash,1786,4203,1786.0,97.0,97,2153.56
135,125,613,8,refactor,balance,drwsat2,dc2,choice,strash,dc2,resyn,choice2,strash,drwsat2,compress2,resyn,drw,dc2,resub,rewrite,drw,refactor,refactor -z,265,705,265.0,6.0,6,388.91
24,25,5416,225,rewrite -z,refactor -z,compress,resub,resyn,refactor -z,resyn,compress2,dc2,rwsat,drw,resyn3,compress,refactor -z,compress2,resyn2a,rwsat,resub,drf,balance,3192,8404,3192.0,77.0,77,3060.5
207,107,2198,30,rwsat,share,drw,compress2,resyn2a,resyn3,choice2,strash,resub,resub,refactor,choice2,strash,resyn2a,compress2,rewrite -z,compress,resyn3,resyn,resub,822,1858,822.0,22.0,22,953.34
135,125,613,8,rewrite,compress2,choice2,strash,resub -z,resyn2,resyn3,refactor,rewrite,drf,resyn2a,dc2,dc2,choice,strash,share,refactor -z,refactor -z,rwsat,drwsat2,342,830,342.0,5.0,5,430.92
24,25,5416,225,drwsat2,resyn3,resyn2,compress,resyn,balance,compress2,rewrite -z,choice,strash,rwsat,resyn,drwsat2,resub -z,dc2,resyn3,resyn,rewrite -z,compress2,share,3389,9037,3389.0,77.0,77,3403.56
135,125,613,8,rewrite,compress2,rwsat,rwsat,share,resub,share,refactor,resub,resyn,rewrite,balance,drw,resub,resyn2,resub -z,choice2,strash,resyn3,rewrite -z,322,846,322.0,5.0,5,439.02
512,130,2865,287,drf,balance,choice2,strash,rewrite -z,resyn,refactor -z,drw,rewrite -z,refactor,compress2,resyn2a,dc2,resyn,refactor,resyn2a,drf,resub -z,resub -z,drw,1991,4529,1991.0,88.0,88,2300.86
164,132,930,11,drwsat2,resub -z,compress,compress,refactor,refactor -z,drw,resyn3,compress2,rwsat,balance,resyn3,choice,strash,resyn3,resyn2,compress,compress2,resyn2a,resub,462,1180,462.0,6.0,6,578.94
24,25,5416,225,compress,refactor,dc2,rewrite -z,resyn,compress2,drw,resyn2,refactor,rwsat,drw,drf,balance,resyn3,share,rwsat,rwsat,dc2,resyn2,resyn2,3546,9450,3546.0,79.0,79,3591.24
45,45,1577,14,drf,rewrite -z,drw,resub -z,resub -z,compress,resyn2,resyn2,resub,rewrite,dc2,resyn2a,rewrite -z,dc2,rewrite,resyn2a,resub -z,drw,balance,drf,720,2181,720.0,7.0,7,579.33
32,32,2337,120,resub,resyn2a,rewrite -z,dc2,resub,drf,refactor -z,choice2,strash,rewrite -z,dc2,balance,resyn,rwsat,rwsat,refactor,resyn3,share,rwsat,refactor,2332,5480,2332.0,49.0,49,2543.37
135,125,613,8,rewrite,resub,resyn2,resyn,dc2,resyn,balance,resyn3,compress,drwsat2,resyn3,resub,resyn,rewrite,share,dc2,balance,share,share,resyn,331,851,331.0,5.0,5,437.49
45,45,1577,14,share,compress,resyn2a,rewrite -z,rewrite -z,rwsat,rwsat,share,rewrite,compress2,resyn,rwsat,drw,compress,resub,resyn2a,rwsat,choice2,strash,drwsat2,630,1881,630.0,8.0,8,517.98
24,25,5416,225,resub,resyn2a,drf,compress,share,choice2,strash,choice2,strash,drf,drf,drf,refactor,drw,drf,choice2,strash,resyn,resyn3,rwsat,3364,8954,3364.0,79.0,79,3333.96
207,107,2198,30,compress2,choice,strash,rwsat,balance,drw,compress,rwsat,dc2,compress2,refactor,balance,rwsat,choice,strash,choice,strash,dc2,resub,resub -z,828,1827,828.0,26.0,26,938.0
207,107,2198,30,share,resub,drw,resub -z,rewrite -z,choice2,strash,share,compress,drf,drf,resyn2,share,rewrite -z,drw,resyn3,drwsat2,resub,resub,drf,801,1821,801.0,22.0,22,939.63
512,130,2865,287,compress2,rwsat,resyn,rewrite,choice,strash,drf,resyn3,share,drw,resyn2a,share,drw,resyn2,resyn2a,drf,compress2,resyn3,resyn2,resub -z,2011,4493,2011.0,86.0,86,2289.34
164,132,930,11,resub -z,resyn2,resub,compress,rewrite,resub,resub,refactor,rewrite -z,resyn2,choice,strash,compress,compress2,choice2,strash,drwsat2,compress2,compress2,share,440,1171,440.0,5.0,5,542.57
45,45,1577,14,rewrite,dc2,rewrite,compress2,resyn2,drwsat2,drwsat2,resub -z,compress2,rwsat,resyn2,choice2,strash,dc2,dc2,refactor,compress,drw,resub -z,resyn2a,691,2119,691.0,7.0,7,560.35
45,45,1577,14,rewrite,resub,dc2,drf,resub,refactor,resyn2a,rwsat,rewrite -z,drf,resyn2,compress,refactor,resyn3,drwsat2,balance,resyn,share,drwsat2,share,704,2119,704.0,7.0,7,576.68
24,25,5416,225,drf,resyn2a,resyn,drf,compress2,resub,choice,strash,choice2,strash,rewrite -z,drwsat2,refactor -z,resyn3,resyn,drwsat2,drwsat2,refactor -z,resub,share,3488,9191,3488.0,81.0,81,3458.06
177,128,1169,14,rewrite -z,rwsat,choice2,strash,resyn2a,drw,share,rwsat,drwsat2,drf,choice2,strash,dc2,balance,rewrite,resub -z,compress2,balance,compress2,refactor,542,1416,542.0,8.0,8,601.21
32,32,2337,120,compress2,resyn2,resub,resyn2,drw,rewrite -z,rwsat,resyn3,resyn3,drw,resub -z,resub,resyn3,compress2,resyn3,refactor -z,refactor,balance,rewrite -z,resub -z,1477,3062,1477.0,45.0,45,1455.5
45,45,1577,14,choice2,strash,dc2,resyn,share,resyn3,balance,drwsat2,resyn3,resub -z,rwsat,choice2,strash,refactor -z,dc2,resyn,resyn2a,dc2,compress2,dc2,684,2040,684.0,8.0,8,540.02
135,125,613,8,resyn2a,resyn3,refactor,drwsat2,choice2,strash,compress2,drf,choice2,strash,refactor -z,resub,resub -z,rwsat,choice,strash,resyn2a,rewrite,resyn2a,dc2,303,799,303.0,5.0,5,434.66
26,11,1592,31,drw,resyn3,resyn2,rewrite,refactor,refactor,resyn3,resyn,resyn,refactor,resyn3,resub -z,compress2,resub -z,rwsat,rewrite,rewrite,refactor -z,choice,strash,546,1494,546.0,11.0,11,685.15
32,32,2337,120,resub,rewrite,drw,refactor -z,resyn2a,drf,resyn2a,resyn3,choice,strash,resub -z,compress,refactor,choice2,strash,drw,resub,resyn2a,rewrite,resyn,1479,3033,1479.0,45.0,45,1447.18
135,125,613,8,drf,resub,balance,resyn3,rewrite -z,compress2,rewrite,drf,rwsat,resyn2a,choice2,strash,drf,drwsat2,choice,strash,resyn2a,rewrite,choice,strash,347,873,347.0,4.0,4,468.22
135,125,613,8,rewrite,resyn2a,resyn,share,resyn2,choice2,strash,dc2,resyn,choice2,strash,resyn3,drf,drwsat2,rewrite -z,resyn,refactor -z,choice2,strash,compress,323,867,323.0,5.0,5,447.02
207,107,2198,30,compress2,resub -z,rwsat,choice2,strash,drw,resyn2a,resub,refactor,resub,resyn,rewrite -z,resyn2,dc2,choice,strash,drf,resyn3,compress,resub -z,835,1868,835.0,20.0,20,956.05
207,107,2198,30,compress,resyn,choice2,strash,rewrite -z,drw,resyn,choice2,strash,drwsat2,compress2,rwsat,drwsat2,refactor,dc2,drw,balance,drwsat2,resub -z,resyn2a,843,1883,843.0,22.0,22,961.16
207,107,2198,30,resub -z,rewrite,compress,share,resyn3,refactor,resub,refactor,resub,resyn,balance,compress,drw,compress,drw,resyn2,refactor -z,refactor,choice,strash,819,1827,819.0,21.0,21,938.93
24,25,5416,225,drf,rewrite,resyn3,rewrite -z,resyn2,rwsat,refactor,drwsat2,dc2,choice2,strash,rewrite -z,resyn2,resub,compress,refactor -z,rwsat,rwsat,choice,strash,3227,8535,3227.0,79.0,79,3122.06
164,132,930,11,drf,compress,drwsat2,resub,balance,compress2,balance,balance,choice,strash,rewrite -z,drw,balance,refactor -z,resyn,resyn2,resyn2a,share,compress2,resyn2,413,1150,413.0,6.0,6,527.91
177,128,1169,14,resyn,refactor -z,resyn2,resub -z,refactor -z,rwsat,resyn3,rewrite -z,resub -z,resyn3,drwsat2,rewrite,share,drf,resyn,balance,drwsat2,compress,rewrite,dc2,541,1520,541.0,8.0,8,646.61
512,130,2865,287,drf,compress,drw,resub,choice,strash,drf,drw,drwsat2,resub,choice2,strash,resyn3,compress,resyn2a,choice,strash,refactor,share,compress2,1976,4377,1976.0,109.0,109,2237.14
207,107,2198,30,compress2,choice2,strash,rwsat,drwsat2,drwsat2,resyn2,resyn3,refactor,refactor -z,drwsat2,rewrite -z,compress,resyn,refactor,drf,rewrite -z,choice2,strash,resyn,865,1921,865.0,21.0,21,981.56
45,45,1577,14,rewrite,refactor,refactor,rewrite,share,drf,resub -z,drw,balance,resub,drf,rewrite,drw,drf,resub -z,balance,balance,rewrite,drf,resyn2a,734,2237,734.0,7.0,7,601.42
512,130,2865,287,refactor -z,resyn2,rewrite -z,share,balance,choice,strash,share,share,refactor -z,share,resyn3,resub,drw,share,dc2,refactor,choice2,strash,resyn3,1911,4458,1911.0,110.0,110,2271.1
135,125,613,8,rewrite -z,drwsat2,share,resub,drf,resyn2,choice,strash,choice2,strash,compress,resyn2a,refactor,resyn,refactor -z,drw,dc2,drw,resub -z,compress2,339,865,339.0,5.0,5,446.56
207,107,2198,30,resyn2a,compress,rewrite,resyn2,refactor,refactor,choice2,strash,resyn2a,choice,strash,resyn,rewrite,dc2,resyn3,drwsat2,resyn2,resyn,resyn2,share,815,1797,815.0,22.0,22,927.66
177,128,1169,14,rwsat,resub,rwsat,refactor,choice,strash,resyn2,resyn2a,rewrite,resub,share,compress2,drwsat2,share,rewrite -z,refactor,compress2,choice,strash,rewrite,536,1457,536.0,8.0,8,611.94
135,125,613,8,resyn3,share,resub,choice,strash,resyn2,choice2,strash,refactor -z,rewrite -z,drwsat2,choice,strash,resyn3,compress,rewrite -z,resyn,resyn2,choice2,strash,330,856,330.0,5.0,5,445.15
512,130,2865,287,rewrite -z,resub -z,drw,refactor -z,rewrite,refactor -z,drw,choice2,strash,drwsat2,drw,choice2,strash,resyn3,resyn3,refactor,refactor -z,drw,compress,compress2,2138,4802,2138.0,113.0,113,2441.55
512,130,2865,287,resyn2,rwsat,drf,resyn2,resub -z,dc2,resyn2a,resyn2a,balance,drf,resub,resub -z,resyn2a,compress,rwsat,refactor -z,refactor,rewrite -z,resyn3,resyn,2030,4534,2030.0,86.0,86,2312.54
26,11,1592,31,resyn3,compress2,share,rewrite,compress,refactor,choice,strash,resyn3,drwsat2,rewrite,balance,resyn2a,resyn3,resyn2,compress,resub -z,resub,choice,strash,537,1497,537.0,9.0,9,663.31
32,32,2337,120,drf,drwsat2,resyn,refactor -z,compress,drf,drwsat2,refactor -z,rewrite -z,drf,rewrite,compress2,choice,strash,resyn3,resyn2,resyn2,choice,strash,resyn2a,1485,3097,1485.0,45.0,45,1472.95
45,45,1577,14,resub -z,resyn2a,rewrite,drf,choice,strash,resyn,drf,rewrite,choice2,strash,resub,balance,drf,compress,balance,refactor -z,drw,balance,resyn2,725,2154,725.0,8.0,8,558.15
512,130,2865,287,resub,resub -z,compress,resyn2a,choice,strash,compress2,compress2,resyn,drw,resyn2,resub -z,dc2,resyn,refactor,resyn3,dc2,share,choice2,strash,1879,4328,1879.0,123.0,123,2206.8
24,25,5416,225,resub -z,dc2,refactor,drf,drf,resub,balance,resyn2,drw,resyn2a,refactor -z,drf,drw,compress,dc2,share,share,rewrite,dc2,resub -z,3601,9541,3601.0,80.0,80,3604.36
164,132,930,11,resyn2,share,choice2,strash,share,drf,choice2,strash,compress,resyn3,compress2,resyn,share,balance,resyn3,drf,choice,strash,refactor -z,balance,404,1105,404.0,6.0,6,503.22
207,107,2198,30,drf,resub -z,balance,resyn2,rewrite -z,drwsat2,choice2,strash,resub -z,drf,resyn2a,rewrite,choice2,strash,resyn2,share,rewrite,resyn3,dc2,rwsat,793,1803,793.0,21.0,21,928.19
24,25,5416,225,compress,drf,rewrite -z,share,balance,drwsat2,refactor,share,rwsat,resyn,resyn,drwsat2,rewrite -z,resyn3,compress2,drw,balance,resyn3,compress,resyn2,3335,8888,3335.0,80.0,80,3295.55
207,107,2198,30,resub -z,resyn2a,share,choice,strash,rewrite,resyn3,refactor,drw,share,resyn2a,resyn2a,resub -z,rewrite -z,share,refactor -z,resyn2,refactor -z,rewrite -z,rewrite -z,837,1850,837.0,21.0,21,947.74
207,107,2198,30,refactor,balance,resub -z,drwsat2,resyn3,resyn2a,compress,resyn2a,drwsat2,resyn2,resyn2a,choice,strash,rwsat,compress,share,compress,refactor -z,resub,resub,828,1840,828.0,22.0,22,948.14
26,11,1592,31,refactor -z,resyn2,drwsat2,dc2,resyn2,rwsat,rwsat,share,rwsat,resyn2,compress2,refactor,resyn2,resub -z,resub -z,choice2,strash,rewrite -z,drw,drw,496,1396,496.0,9.0,9,635.01
135,125,613,8,choice,strash,resyn,drf,drf,rwsat,refactor -z,resub,resub,dc2,drwsat2,resyn,rwsat,resub,share,resub -z,drw,compress2,resub,balance,351,865,351.0,5.0,5,448.04
512,130,2865,287,rewrite -z,rwsat,compress2,resyn3,resub -z,drf,resub,choice2,strash,refactor,resub,drwsat2,refactor,compress,refactor,dc2,rwsat,resyn3,drf,rewrite,1994,4597,1994.0,91.0,91,2338.12
24,25,5416,225,resyn2a,resyn2a,dc2,resub -z,drf,balance,rewrite,resyn,rwsat,dc2,resyn,dc2,resyn,drf,choice2,strash,drw,dc2,compress,compress2,3373,8908,3373.0,79.0,79,3301.48
207,107,2198,30,drwsat2,choice2,strash,refactor -z,share,compress,refactor -z,resub,compress,drf,refactor -z,drw,share,balance,drwsat2,dc2,resyn,resyn2,share,dc2,802,1783,802.0,26.0,26,917.64
45,45,1577,14,resyn3,share,rwsat,balance,compress2,rewrite,choice,strash,compress,resyn2a,rewrite,rewrite,refactor,rewrite -z,choice2,strash,rewrite -z,resyn3,compress,drw,713,2132,713.0,8.0,8,583.72
32,32,2337,120,compress2,compress2,balance,resyn2a,drf,choice2,strash,resub -z,rewrite,choice2,strash,rwsat,refactor -z,choice,strash,balance,resub -z,compress2,dc2,dc2,1464,3071,1464.0,45.0,45,1459.09
45,45,1577,14,compress2,refactor -z,choice2,strash,rwsat,refactor -z,resyn2a,rewrite,refactor,refactor,drwsat2,drw,resub -z,compress,resyn2a,compress,drf,drf,rewrite -z,resyn2a,724,2221,724.0,7.0,7,618.98
45,45,1577,14,resyn2a,drw,drwsat2,rewrite,resub,rewrite -z,choice2,strash,drw,drwsat2,rwsat,resub -z,dc2,drf,refactor -z,rwsat,rewrite,drwsat2,rewrite,balance,753,2302,753.0,7.0,7,632.76
177,128,1169,14,rewrite -z,compress2,refactor,resyn2a,resyn2,drwsat2,balance,balance,balance,refactor -z,drwsat2,resyn2,refactor -z,rewrite,compress,rewrite,rwsat,rewrite,refactor,resyn,575,1521,575.0,8.0,8,661.7
32,32,2337,120,drf,resyn2,drw,compress,resyn2,drwsat2,refactor,refactor -z,drw,refactor,rwsat,rewrite -z,choice2,strash,refactor,balance,share,choice,strash,rwsat,1900,4318,1900.0,47.0,47,2014.01
45,45,1577,14,drf,drw,compress,drwsat2,resyn,rwsat,compress,compress,rwsat,rewrite,drf,rwsat,drw,compress,compress,drwsat2,compress2,dc2,drwsat2,dc2,697,2121,697.0,8.0,8,564.21
177,128,1169,14,resyn2a,drf,balance,refactor,rwsat,rwsat,resub -z,share,choice2,strash,choice,strash,resyn2,refactor -z,choice,strash,resyn2a,rewrite -z,choice2,strash,530,1505,530.0,8.0,8,635.31
24,25,5416,225,refactor,drf,resyn3,refactor,resyn,dc2,refactor -z,dc2,choice,strash,refactor -z,balance,drw,drwsat2,resyn,balance,share,share,share,refactor,3577,9460,3577.0,77.0,77,3579.2
164,132,930,11,resyn2a,resyn,drwsat2,drw,resub -z,resyn3,drf,choice,strash,share,dc2,compress,dc2,compress2,rewrite,drwsat2,drwsat2,compress2,drwsat2,resyn,399,1106,399.0,6.0,6,501.21
24,25,5416,225,resyn3,resub -z,resub -z,choice2,strash,drwsat2,resyn3,drf,resyn2,refactor,drwsat2,resyn,share,drwsat2,resyn,resub,rewrite -z,share,drw,rwsat,3477,9281,3477.0,78.0,78,3511.83
207,107,2198,30,rewrite,rewrite,resyn,resyn2a,rwsat,compress,balance,resyn3,share,compress,balance,compress2,refactor,drf,refactor -z,choice,strash,resub,resub,share,809,1807,809.0,27.0,27,935.27
45,45,1577,14,resyn3,rewrite -z,drw,compress2,share,drwsat2,rewrite,compress,resyn2,drw,drw,resub -z,compress2,resyn3,drf,drw,dc2,resyn3,resyn2a,balance,705,2118,705.0,7.0,7,587.04
164,132,930,11,compress2,resyn2a,rewrite,compress2,refactor,drf,drf,drf,compress,compress,resyn2a,dc2,resyn2,rewrite -z,drwsat2,drf,resub,resyn2a,drwsat2,resub,460,1196,460.0,6.0,6,585.64
207,107,2198,30,balance,refactor -z,resyn,rewrite,compress,resyn3,compress,drw,resyn2,balance,refactor -z,compress2,rewrite,choice2,strash,drwsat2,resyn3,refactor,refactor -z,share,820,1833,820.0,26.0,26,945.75
177,128,1169,14,drwsat2,choice2,strash,resyn,choice2,strash,resyn2,dc2,share,resyn,balance,rewrite,resub -z,balance,resub,resyn,drw,choice,strash,rwsat,510,1362,510.0,8.0,8,586.82
135,125,613,8,balance,resyn2,compress,drw,resub,refactor -z,resyn2a,drw,refactor -z,share,refactor -z,compress2,dc2,compress,drw,resyn2a,share,rwsat,drf,share,350,864,350.0,5.0,5,448.18
24,25,5416,225,compress2,dc2,refactor -z,rewrite -z,resyn2a,drwsat2,drwsat2,rwsat,rewrite -z,refactor,refactor,dc2,share,resub -z,resyn2,resyn2,compress,rwsat,refactor,resub -z,3397,9091,3397.0,79.0,79,3414.49
512,130,2865,287,resub -z,rwsat,share,refactor,resyn2a,drwsat2,share,drf,compress2,compress2,share,rewrite -z,rwsat,balance,drwsat2,resyn2,choice,strash,drw,resyn3,1789,4261,1789.0,90.0,90,2176.86
164,132,930,11,rewrite -z,compress,share,drf,rwsat,share,rewrite,resyn3,refactor -z,resub,refactor,drf,refactor -z,compress,rewrite -z,refactor,resyn2,drf,rewrite,drw,431,1120,431.0,6.0,6,515.5
32,32,2337,120,resub -z,resub,drw,drwsat2,resyn,rewrite -z,resub -z,balance,choice,strash,choice,strash,resub -z,share,resyn2,drw,rewrite -z,compress2,resyn,resyn3,2456,5866,2456.0,50.0,50,2714.3
512,130,2865,287,drf,drf,rewrite,rewrite,resub -z,resyn2a,resyn,rewrite -z,refactor -z,compress2,resyn2a,rwsat,resub,resyn,resyn2,refactor,dc2,resyn3,compress,balance,2133,4754,2133.0,88.0,88,2420.49
177,128,1169,14,compress2,resyn2,balance,share,drf,rwsat,refactor,refactor -z,refactor -z,refactor,rewrite -z,resub -z,balance,refactor,rwsat,rewrite -z,resub,refactor -z,rewrite,resyn2a,551,1463,551.0,8.0,8,612.29
32,32,2337,120,rwsat,choice2,strash,rwsat,rewrite,rwsat,compress2,resub -z,resyn3,drwsat2,resyn2a,rwsat,resyn2,drf,resyn3,choice,strash,drwsat2,resyn3,refactor -z,1480,3075,1480.0,45.0,45,1466.4
164,132,930,11,resyn,resub -z,choice2,strash,share,rewrite -z,resub -z,choice2,strash,resyn2a,drw,drwsat2,resyn2,rewrite -z,rwsat,choice2,strash,resub -z,compress,rwsat,432,1154,432.0,6.0,6,528.44
45,45,1577,14,rewrite -z,resyn2,drwsat2,resyn3,share,resyn,rewrite,drf,drw,choice2,strash,resub -z,share,drw,balance,resub,resyn2,balance,balance,refactor -z,678,2005,678.0,8.0,8,523.92
512,130,2865,287,drf,resyn2,rewrite -z,refactor -z,resub,share,balance,compress,choice2,strash,resyn2,compress,resyn,resyn2a,resub -z,refactor,resyn2a,compress,resub -z,resub -z,1949,4346,1949.0,113.0,113,2222.98
32,32,2337,120,rewrite -z,share,balance,drw,choice,strash,drf,choice,strash,resyn,dc2,compress,dc2,drf,drw,drf,resub -z,resub -z,compress,drw,2348,5510,2348.0,51.0,51,2493.26
32,32,2337,120,compress,refactor -z,resyn,resub,choice2,strash,resub,compress2,drwsat2,rwsat,resyn2a,resyn3,rwsat,share,dc2,choice2,strash,refactor,balance,resyn3,2305,5475,2305.0,48.0,48,2502.53
512,130,2865,287,rwsat,compress2,compress2,refactor -z,choice,strash,drwsat2,resyn2,compress,resub -z,resyn2a,balance,rewrite -z,compress2,drwsat2,compress,resub -z,balance,resyn3,balance,2128,4722,2128.0,86.0,86,2405.64
45,45,1577,14,rwsat,share,resyn,rwsat,compress2,choice,strash,choice,strash,rewrite -z,resyn3,resub,drf,resub -z,refactor,resyn,resyn3,resub -z,refactor -z,drw,719,2150,719.0,8.0,8,574.41
45,45,1577,14,resyn2a,choice,strash,choice2,strash,refactor -z,resyn,compress2,resub,resyn,drw,resyn2a,refactor -z,resyn3,rwsat,rewrite,resub,resyn3,resyn2,resub -z,760,2278,760.0,8.0,8,604.78
